-0.102635-0j -0.103699-0j 0.568533-0j 0.703524-0j 0.410389-0j -0.00736065-0j 0.101251-0j -0.00858742-0j -0.0052587-0j 0.118126-0j -0.00751399-0j 0.0723369-0j 0.10336-0j -0.00309936-0j 0.0426338-0j -0.00535859-0j 0.044665-0j 0.0113241-0j -0.00605318-0j -0.0049424-0j 0.0504545-0j -0.00499362-0j 0.012792-0j -0.0043246-0j 0.0411959-0j 0.0416228-0j 0.0104446-0j -0.00356761-0j 0.0360464-0j 0.0105528-0j -0.00113987-0j 0.00913902-0j 0.0297368-0j 0.0075393-0j 0.00950104-0j 0.00240884-0j -0.00422305-0j 0.0331869-0j -0.000431014-0j -0.00467406-0j 0.0083847-0j 0.000993331-0j -0.00369517-0j 0.0367311-0j -0.00246345-0j -0.00373346-0j -0.000477045-0j 0.00928016-0j -0.00431103-0j 0.0290385-0j 0.00109942-0j 0.019359-0j -0.00152418-0j -0.000377137-0j -0.00251477-0j 0.0293394-0j -0.000251425-0j -0.00266732-0j -0.000381045-0j 0.00733661-0j 0.00489108-0j 0.0338783-0j 0.00741264-0j 0.000869164-0j -0.00155593-0j -0.000439993-0j 0.0119778-0j 0.000579443-0j 0.0197623-0j 0.000878172-0j -0.000405904-0j -0.000155561-0j 0.00855938-0j 0.0209611-0j -0.000256663-0j 0.0030262-0j -0.000272232-0j 0.00101403-0j 0.0122273-0j 0.00499297-0j 0.00529585-0j -0.000158802-0j 0.000358512-0j 0.000591515-0j 0.0031898-0j 0.00308924-0j -4.14274e-05-0j 0.000627396-0j 0.000805905-0j 0.000365981-0j 9.54752e-05-0j 
0.0730959-0j -0.0712943-0j 0.00858742-0j 0.000184111-0j -0.0120753-0j -0.501181-0j 0.000756647-0j -0.0101306-0j -0.358061-0j 1.52945e-05-0j 0.493894-0j 0.000540575-0j -0.000745645-0j 0.618475-0j -0.000933729-0j 0.00381636-0j -0.0644993-0j 5.62202e-05-0j 7.46923e-05-0j 0.00351994-0j -0.00126236-0j -0.00343318-0j 1.10032e-06-0j 5.33627e-05-0j -0.0594897-0j 0.0580234-0j 5.18537e-05-0j -0.00494959-0j -0.000901871-0j -5.05756e-05-0j -0.0031769-0j 7.86108e-07-0j 0.0836518-0j -7.29144e-05-0j 0.053692-0j -4.68002e-05-0j 0.00300763-0j 0.000501272-0j -0.0590018-0j 5.76749e-05-0j -0.00599052-0j 3.69222e-06-0j 0.00263168-0j 9.61249e-06-0j 0.00175445-0j -0.00256681-0j -0.00113143-0j -0.000114875-0j 5.31954e-05-0j 0.000438613-0j 7.08027e-08-0j 0.000292409-0j 0.00108551-0j -0.0516266-0j -0.00348891-0j -0.000427802-0j -0.0344177-0j -0.00183382-0j 0.0503541-0j -0.0052417-0j -0.00349447-0j 8.86589e-06-0j 0.00511251-0j 3.23069e-06-0j -0.00324758-0j -0.00104355-0j 0.000180919-0j 2.15379e-06-0j -0.000581485-0j -3.15106e-06-0j -0.00141536-0j -0.0212949-0j -0.000105953-0j -0.000305637-0j 0.0684433-0j -0.00216209-0j 0.0359747-0j 6.53035e-08-0j -0.000541264-0j 0.00694912-0j 0.00365255-0j 0.063709-0j 1.33259e-06-0j -4.28305e-06-0j -0.000235893-0j 0.00646844-0j 0.0277656-0j -2.25123e-06-0j 0.00281907-0j -3.98678e-06-0j -1.73752e-06-0j 
-0.0105505-0j 0.0102904-0j 0.118126-0j 0.00253257-0j -0.166103-0j -0.000756647-0j -0.485498-0j -1.52945e-05-0j -0.000540575-0j -0.00981361-0j 0.000745645-0j -0.346857-0j 0.478439-0j 0.000933729-0j 0.599122-0j -0.000550844-0j 0.00928016-0j -0.110548-0j -1.07809e-05-0j -0.00050806-0j 0.000181628-0j 0.000495538-0j -0.00216361-0j -7.70225e-06-0j 0.00855938-0j -0.00834841-0j -0.101962-0j 0.000714412-0j 0.000129761-0j 0.099449-0j 0.000458546-0j -0.00154576-0j -0.0120358-0j 0.143375-0j -0.00772522-0j 0.0920253-0j -0.000434114-0j 0.00689533-0j -4.43066e-05-0j -8.32466e-06-0j -0.0402048-0j -0.0146224-0j -0.00037985-0j 0.000132226-0j -0.000253233-0j 0.000370487-0j -8.49632e-07-0j -0.000770974-0j -7.67809e-06-0j 0.00603341-0j -0.000280403-0j 0.00402228-0j -0.00015668-0j -3.87683e-05-0j 0.000503581-0j -0.0058847-0j -2.58455e-05-0j 0.000264689-0j 3.78127e-05-0j -0.0351792-0j -0.0234528-0j 0.000121956-0j 0.0343121-0j -0.0127946-0j 0.000468748-0j -7.83642e-07-0j 0.00248866-0j -0.00852976-0j -0.00799872-0j 0.0124793-0j 0.000204289-0j -1.59911e-05-0j -0.000711094-0j -0.00420423-0j 5.13965e-05-0j -0.0145107-0j 2.70147e-05-0j -0.000258624-0j -0.00744544-0j 0.0466383-0j 0.0245137-0j 4.78414e-05-0j -0.00527752-0j 0.0169623-0j -0.00324487-0j 0.0434123-0j 2.08502e-05-0j 0.00891562-0j 0.0189199-0j 0.015789-0j 0.00688116-0j 
-0.040872-0j 0.0425056-0j 0.0049424-0j -0.0059418-0j 0.00356761-0j 0.00301709-0j 0.00043548-0j 0.00351994-0j -0.00634382-0j 0.00050806-0j -0.00299227-0j -0.000915652-0j -0.000431897-0j 0.00127041-0j 0.000183369-0j -0.317089-0j 0.000388283-0j 3.2357e-05-0j -0.35819-0j 0.284136-0j 0.000438613-0j -0.295492-0j 3.65511e-05-0j 0.753141-0j -0.000347931-0j 0.000361837-0j -2.89942e-05-0j 0.2051-0j -0.000922239-0j 3.01531e-05-0j -0.0674506-0j -7.68533e-05-0j -0.00025115-0j -2.09291e-05-0j 8.25949e-05-0j 6.8829e-06-0j 0.00173101-0j -0.0416491-0j 0.00017667-0j 0.00191588-0j 3.60627e-05-0j 2.12502e-06-0j -0.00147152-0j -0.0460971-0j 0.00100976-0j 0.00153033-0j 0.000195538-0j 3.99141e-05-0j -0.00171677-0j 0.0354055-0j 2.35196e-06-0j -0.0242953-0j -0.00307042-0j -0.000150186-0j 0.00103079-0j -0.0368206-0j 0.000103058-0j -0.00321771-0j 0.000156189-0j -3.06566e-05-0j 2.10366e-05-0j 0.0413065-0j 3.18819e-05-0j -1.80646e-06-0j -0.000619614-0j -0.000175217-0j 0.0738761-0j 1.23959e-06-0j -0.0248015-0j 1.87866e-06-0j 0.000166378-0j -0.000313373-0j -3.5766e-05-0j 0.0774201-0j 0.000105205-0j -6.3967e-05-0j -0.000328406-0j -2.10753e-06-0j 0.0149083-0j 2.14748e-05-0j -6.70357e-05-0j -6.32391e-05-0j -3.76929e-06-0j 1.26542e-06-0j -0.00400316-0j -1.29086e-05-0j 1.69809e-05-0j -3.95012e-06-0j 3.46621e-06-0j -7.60648e-07-0j 2.04248e-07-0j 
-0.0425056-0j 0.0429203-0j -0.00499362-0j 0.00596516-0j -0.00323636-0j -0.00304836-0j -0.000439993-0j 0.00343318-0j -0.00217785-0j 0.000495538-0j 0.00311-0j -0.000314346-0j 0.00044889-0j -0.0060667-0j -0.000875653-0j 0.320375-0j -0.000392307-0j -3.26923e-05-0j -0.349362-0j 0.295492-0j 0.000427802-0j -0.298375-0j 3.56502e-05-0j -0.249596-0j -0.000361837-0j 0.000365367-0j -3.01531e-05-0j 0.191508-0j 0.000305637-0j 3.04473e-05-0j 0.714632-0j 2.54697e-05-0j -0.000234506-0j -1.95422e-05-0j -0.000875084-0j -7.29237e-05-0j -0.00174895-0j 0.0420807-0j -0.000178501-0j 0.00186865-0j -3.64364e-05-0j -2.14704e-06-0j -0.00153033-0j -0.0449609-0j -0.00102022-0j 0.00154526-0j 0.000190719-0j 3.89303e-05-0j 0.00172352-0j 0.0368206-0j 2.29399e-06-0j 0.0245471-0j -0.000631229-0j -0.000156189-0j -0.000935084-0j -0.0371799-0j -0.000104126-0j 0.00110399-0j 0.000157712-0j -3.18819e-05-0j -2.12546e-05-0j -0.0414689-0j 3.21929e-05-0j -1.87866e-06-0j -0.00304559-0j 0.000175906-0j 0.0151877-0j -1.25244e-06-0j 0.0224987-0j 1.89699e-06-0j -0.00305566-0j -6.44245e-05-0j 3.59066e-05-0j -0.0265626-0j -9.54366e-05-0j -1.31506e-05-0j 0.000112675-0j 2.11582e-06-0j 0.0732787-0j -1.94809e-05-0j 2.29997e-05-0j -0.000310839-0j -7.74907e-07-0j -1.14792e-06-0j 0.0735209-0j -6.34497e-05-0j -0.000311867-0j 1.35527e-06-0j -6.36595e-05-0j -3.73881e-06-0j -3.75117e-06-0j 
0.00722521-0j -0.00751399-0j 0.0411959-0j -0.0495261-0j 0.0297368-0j 0.0509912-0j 0.00733661-0j 0.0594897-0j -0.107215-0j 0.00855938-0j -0.0505716-0j -0.0154262-0j -0.00727625-0j 0.021471-0j 0.00308924-0j -0.000388283-0j -0.309418-0j 0.000820545-0j -0.000438613-0j 0.000347931-0j -0.349525-0j -0.000361837-0j 0.000926905-0j 0.000922239-0j 0.277262-0j -0.288344-0j -0.00073527-0j 0.00025115-0j 0.734921-0j 0.000764657-0j -8.25949e-05-0j -0.00194893-0j 0.200138-0j -0.000530746-0j -0.0658188-0j 0.000174545-0j -0.000306002-0j 0.00240472-0j 0.00600296-0j -0.000338682-0j -0.0580854-0j 7.19767e-05-0j 0.00026013-0j 0.00266154-0j -0.000178501-0j -0.000270527-0j 0.00664406-0j -0.0642887-0j 0.000303485-0j -0.00204423-0j 7.96636e-05-0j 0.00140275-0j 0.000542778-0j -0.00510306-0j -0.00018222-0j 0.00212594-0j 0.00350173-0j 0.000568817-0j 0.00530702-0j 0.0493778-0j -0.0338831-0j -0.00238494-0j -0.0513514-0j -6.11867e-05-0j 0.000109533-0j -0.00595357-0j -0.00426542-0j 4.19864e-05-0j 0.00143198-0j 6.36323e-05-0j -2.94118e-05-0j -0.0106479-0j 0.0576075-0j -0.00447005-0j 0.00357468-0j 0.10303-0j -0.0111587-0j -7.13845e-05-0j -0.000860769-0j -0.034589-0j 0.107973-0j -0.00214876-0j -0.00012767-0j 4.28611e-05-0j 0.000231132-0j 0.0207916-0j 0.000576981-0j -0.000133795-0j -0.00558294-0j -2.5764e-05-0j 6.91813e-06-0j 
0.00751399-0j -0.0075873-0j -0.0416228-0j 0.0497208-0j -0.0269757-0j -0.0515196-0j -0.00741264-0j 0.0580234-0j -0.0368074-0j 0.00834841-0j 0.0525613-0j -0.00529585-0j 0.00756253-0j -0.102532-0j -0.0147523-0j 0.000392307-0j 0.312625-0j -0.000829049-0j -0.000427802-0j 0.000361837-0j -0.34091-0j -0.000365367-0j 0.000904058-0j -0.000305637-0j 0.288344-0j -0.291157-0j -0.000764657-0j 0.000234506-0j -0.243558-0j 0.000772118-0j 0.000875084-0j 0.000645891-0j 0.186875-0j -0.000495574-0j 0.697344-0j -0.00184928-0j 0.000309173-0j -0.00242964-0j -0.00606517-0j -0.000330335-0j 0.0586873-0j -7.27226e-05-0j 0.000270527-0j 0.00259594-0j 0.000180351-0j -0.000273166-0j 0.0064803-0j -0.0627041-0j -0.000304678-0j -0.00212594-0j 7.77001e-05-0j -0.00141729-0j 0.000111587-0j -0.00530702-0j 0.000165301-0j 0.00214668-0j -0.00353801-0j -0.000195159-0j 0.0053588-0j 0.0513514-0j 0.0342343-0j 0.00239431-0j -0.0518524-0j -6.36323e-05-0j 0.000538389-0j 0.00597698-0j -0.000876903-0j -4.24215e-05-0j -0.00129902-0j 6.42531e-05-0j 0.000540169-0j -0.00218903-0j -0.057834-0j 0.00153366-0j -0.00324277-0j 0.0211814-0j 0.00382851-0j 7.16652e-05-0j -0.00423093-0j 0.0313774-0j -0.0370451-0j -0.0105618-0j -2.6247e-05-0j -3.88815e-05-0j -0.00424492-0j 0.102197-0j -0.0105967-0j 4.59046e-05-0j 0.102535-0j -0.000126638-0j -0.000127056-0j 
-0.000602101-0j 0.000626166-0j -0.0104446-0j 0.0125566-0j -0.0075393-0j 4.4446e-05-0j 0.0873961-0j 5.18537e-05-0j -9.34534e-05-0j 0.101962-0j -4.40803e-05-0j -0.183761-0j -0.0866771-0j 1.8715e-05-0j 0.0368001-0j 3.2357e-05-0j -0.000820545-0j -0.299599-0j 3.65511e-05-0j -2.89942e-05-0j -0.000926905-0j 3.01531e-05-0j -0.338433-0j -7.68533e-05-0j 0.00073527-0j -0.000764657-0j 0.268463-0j -2.09291e-05-0j 0.00194893-0j -0.279193-0j 6.8829e-06-0j 0.711599-0j 0.000530746-0j 0.193787-0j -0.000174545-0j -0.0637301-0j 2.55002e-05-0j -0.00060968-0j 2.6026e-06-0j 2.82235e-05-0j 0.00723739-0j -0.0812804-0j -2.16775e-05-0j -0.000674792-0j 1.48751e-05-0j 2.25439e-05-0j 2.88055e-06-0j 0.00801032-0j -2.52904e-05-0j 0.000518283-0j -0.089961-0j -0.000355647-0j -4.52315e-05-0j -2.21245e-06-0j 1.5185e-05-0j -0.000538998-0j 1.51818e-06-0j -4.74014e-05-0j 2.30088e-06-0j -0.00615244-0j 0.00422181-0j 0.000604664-0j 0.00639834-0j 0.0690958-0j -9.12778e-06-0j -2.58119e-06-0j 0.00108143-0j -0.0474136-0j -0.000363056-0j -0.0718574-0j 2.45098e-06-0j -4.61642e-06-0j -0.00717785-0j 0.00113331-0j 1.54981e-06-0j -0.0128375-0j -4.83788e-06-0j 0.0806117-0j 0.000218235-0j 0.00430977-0j -0.0134533-0j -9.316e-07-0j 0.144173-0j -0.0484014-0j -5.86001e-05-0j -0.00259062-0j 2.50152e-07-0j 0.151089-0j 0.00069563-0j 0.0290943-0j -0.00781237-0j 
-0.000626166-0j 0.000632275-0j 0.0105528-0j -0.012606-0j 0.00683928-0j -4.49066e-05-0j -0.0883018-0j 5.05756e-05-0j -3.20828e-05-0j 0.099449-0j 4.58146e-05-0j -0.0630858-0j 0.0900873-0j -8.93709e-05-0j -0.175734-0j -3.26923e-05-0j 0.000829049-0j 0.302704-0j 3.56502e-05-0j -3.01531e-05-0j -0.000904058-0j 3.04473e-05-0j -0.330092-0j 2.54697e-05-0j 0.000764657-0j -0.000772118-0j 0.279193-0j -1.95422e-05-0j -0.000645891-0j -0.281917-0j -7.29237e-05-0j -0.235829-0j 0.000495574-0j 0.180945-0j 0.00184928-0j 0.675214-0j -2.57644e-05-0j 0.000615998-0j -2.62957e-06-0j 2.75279e-05-0j -0.00731239-0j 0.0821227-0j -2.25439e-05-0j -0.00065816-0j -1.50293e-05-0j 2.27638e-05-0j 2.80955e-06-0j 0.00781289-0j 2.53898e-05-0j 0.000538998-0j -0.0877436-0j 0.000359332-0j -9.29888e-06-0j -2.30088e-06-0j -1.37751e-05-0j -0.000544257-0j -1.53392e-06-0j 1.62633e-05-0j 2.32332e-06-0j -0.00639834-0j -0.00426556-0j -0.000607041-0j 0.00646077-0j 0.0718574-0j -4.48657e-05-0j 2.59134e-06-0j 0.000222325-0j 0.0479049-0j 0.000329346-0j -0.0725585-0j -4.50141e-05-0j -9.49063e-07-0j 0.00720607-0j -0.000388836-0j -1.40591e-06-0j -0.00263918-0j 1.65986e-06-0j -0.0809287-0j 0.00107269-0j -0.00390961-0j 0.0046158-0j -4.57909e-06-0j 0.0296397-0j 0.0439073-0j 0.00107623-0j -0.0127337-0j -4.59423e-06-0j -0.0518383-0j -0.0127758-0j 0.143007-0j 0.14348-0j 
0.0296544-0j 0.0299617-0j -0.00685133-0j 0.00431103-0j 0.00251477-0j 0.00212672-0j 0.000306965-0j -0.00487948-0j 0.0015194-0j -0.000704292-0j 0.00217102-0j 0.000219306-0j 0.00031336-0j 0.000895501-0j 0.000129254-0j 0.00154826-0j 0.000273697-0j 2.28081e-05-0j 0.00174895-0j -0.00280833-0j 0.000309173-0j -0.00283743-0j 2.57644e-05-0j 0.00124951-0j -0.000496447-0j -0.000501592-0j -4.13706e-05-0j 0.00103079-0j 0.000220884-0j -4.17993e-05-0j 0.000329343-0j 1.8407e-05-0j 0.00018222-0j 1.5185e-05-0j 5.82202e-05-0j 4.85168e-06-0j -0.236015-0j 0.000203362-0j 0.000124533-0j -0.261221-0j 2.54202e-05-0j 1.4979e-06-0j -0.206513-0j 0.00022508-0j 0.679181-0j -0.208653-0j 0.000137833-0j 2.8135e-05-0j 0.473818-0j 0.000177941-0j 1.65787e-06-0j -0.000585215-0j -0.0851823-0j 0.000108966-0j 0.276394-0j 0.000179785-0j -0.000358369-0j -0.149069-0j 0.000110096-0j 2.22427e-05-0j -7.31518e-05-0j -0.000408264-0j 2.24732e-05-0j 1.31066e-06-0j -0.0869569-0j -0.000250009-0j 7.33971e-05-0j -4.31051e-06-0j -0.000238154-0j 1.32424e-06-0j -0.0226849-0j 4.49463e-05-0j -5.10329e-05-0j 0.000128445-0j -0.000145839-0j 9.17463e-06-0j 7.86561e-05-0j -3.00715e-06-0j 7.49262e-05-0j -2.97692e-05-0j 1.60556e-05-0j 4.58827e-05-0j 5.40621e-07-0j -1.75417e-06-0j 1.95463e-05-0j 9.36577e-06-0j 1.19696e-05-0j 9.46086e-07-0j 2.44329e-06-0j 5.51883e-07-0j 1.43972e-07-0j 
0.0356508-0j 0.035791-0j -0.00431103-0j 8.97958e-05-0j 0.00606199-0j -0.00263168-0j -0.00037985-0j -5.31954e-05-0j 0.00553344-0j -7.67809e-06-0j -0.00251958-0j 0.000798683-0j -0.000363671-0j 0.00324758-0j 0.000468748-0j -0.00191588-0j -0.000338682-0j -2.82235e-05-0j -3.74968e-05-0j 0.00171677-0j -6.62856e-06-0j 0.00172352-0j -5.5238e-07-0j 7.88418e-05-0j 0.000303485-0j 0.000304678-0j 2.52904e-05-0j -0.00241405-0j 1.39374e-05-0j 2.53898e-05-0j 0.00159486-0j 1.16145e-06-0j -0.000426747-0j -3.55622e-05-0j 0.000281934-0j 2.34945e-05-0j 0.292054-0j -0.000251647-0j -0.000154102-0j 0.00560048-0j -3.14559e-05-0j -1.85356e-06-0j -0.248272-0j -4.82563e-06-0j 0.170365-0j -0.249248-0j -2.95509e-06-0j -6.03204e-07-0j -0.00501844-0j 0.000213923-0j -3.55442e-08-0j -0.000146794-0j -0.518036-0j 0.000131-0j -0.338788-0j 0.000214764-0j -8.98927e-05-0j 0.524076-0j 0.000131516-0j 2.67404e-05-0j -1.83493e-05-0j 4.32413e-06-0j 2.68455e-05-0j 1.57569e-06-0j 0.306376-0j 2.64798e-06-0j 0.000446365-0j -1.08124e-06-0j 0.000291916-0j 1.58189e-06-0j -0.137437-0j 0.000273341-0j 5.40516e-07-0j -0.000451569-0j 0.000178761-0j 5.57956e-05-0j -0.000276528-0j 3.18502e-08-0j -0.000263988-0j 3.64895e-05-0j -5.64461e-05-0j -0.000161659-0j 3.28779e-06-0j 2.15016e-06-0j 0.000118422-0j -3.29985e-05-0j 7.25186e-05-0j -3.32612e-06-0j 1.48028e-05-0j -1.94446e-06-0j 8.72263e-07-0j 
-0.0049424-0j -0.00499362-0j -0.0538412-0j 0.0338783-0j 0.0197623-0j -0.000354453-0j 0.00487573-0j 0.000813246-0j -0.000253233-0j -0.0111867-0j -0.000361837-0j 0.00348339-0j 0.00497731-0j -0.00014925-0j 0.00205304-0j 0.0372521-0j 0.00215085-0j 0.000545314-0j 0.0420807-0j -0.0675701-0j 0.00242964-0j -0.0682703-0j 0.000615998-0j 0.0300639-0j -0.00390133-0j -0.00394176-0j -0.000989124-0j 0.0248015-0j 0.00173582-0j -0.000999374-0j 0.00792419-0j 0.00044009-0j 0.00143198-0j 0.000363056-0j 0.000457524-0j 0.000115998-0j -0.000203362-0j -0.23071-0j -2.07555e-05-0j -0.00022508-0j 0.000403766-0j 4.7834e-05-0j -0.000177941-0j -0.255349-0j 0.000585215-0j -0.000179785-0j -2.29721e-05-0j 0.000446887-0j 0.000408264-0j -0.201871-0j 5.29425e-05-0j 0.663915-0j -7.33971e-05-0j -1.81611e-05-0j 0.000238154-0j -0.203963-0j 5.97282e-05-0j -0.000128445-0j -1.83493e-05-0j 0.000353295-0j -0.00116192-0j 0.463168-0j 0.000356957-0j 4.18547e-05-0j -7.49262e-05-0j 4.16682e-05-0j -0.0832677-0j -0.000137652-0j 0.270181-0j 4.22885e-05-0j -1.95463e-05-0j -7.49106e-06-0j -0.000810591-0j -0.145718-0j 2.43065e-05-0j 0.000145727-0j -1.31094e-05-0j -9.60302e-05-0j -0.0850024-0j -0.000472845-0j 0.000255022-0j -7.64712e-06-0j 1.72642e-05-0j -5.60176e-05-0j -0.022175-0j 0.000148763-0j -1.99494e-06-0j 3.02123e-05-0j 3.88085e-05-0j 1.76239e-05-0j 4.59762e-06-0j 
0.0214057-0j 0.0194182-0j 0.00251477-0j -0.00606199-0j 0.00697802-0j 0.00153514-0j 0.000221579-0j -0.00348891-0j 0.00109676-0j -0.000503581-0j 0.00140704-0j 0.000158304-0j 0.000203089-0j 0.000773897-0j 0.000111702-0j 0.00111759-0j 0.000197565-0j 1.64637e-05-0j -0.0024593-0j 0.00103079-0j -0.000434746-0j 0.000935084-0j -3.62288e-05-0j -0.00175701-0j 0.00018222-0j 0.000165301-0j 1.5185e-05-0j 0.00286026-0j -0.000310598-0j 1.37751e-05-0j -0.00302782-0j -2.58831e-05-0j 0.000505627-0j 4.21356e-05-0j -0.000535249-0j -4.46041e-05-0j -0.170365-0j 0.000146794-0j 8.98927e-05-0j 0.367317-0j 1.83493e-05-0j 1.08124e-06-0j -0.149069-0j -0.000316498-0j -0.0993793-0j -0.135228-0j -0.000193815-0j -3.95622e-05-0j 0.338788-0j 0.000128445-0j -2.33123e-06-0j 8.56299e-05-0j -0.0614878-0j 7.86561e-05-0j -0.389983-0j 0.000116519-0j 5.24374e-05-0j -0.0966115-0j 7.13529e-05-0j 1.60556e-05-0j 1.07037e-05-0j -0.000291916-0j 1.45649e-05-0j 9.46086e-07-0j -0.0751486-0j -0.000178761-0j 5.29808e-05-0j 6.30724e-07-0j 0.000336028-0j 8.58242e-07-0j 0.714758-0j 3.2444e-05-0j -3.64895e-05-0j 8.32451e-05-0j 0.000205774-0j 6.6226e-06-0j 5.0977e-05-0j -2.15016e-06-0j 6.47516e-05-0j 4.20034e-05-0j 1.04056e-05-0j 3.96521e-05-0j 3.90241e-07-0j 2.47508e-06-0j -0.000615869-0j 8.09395e-06-0j -0.000377141-0j 6.13158e-07-0j -7.69837e-05-0j 4.7694e-07-0j -4.53631e-06-0j 
-0.00302659-0j -0.00305795-0j 0.000699261-0j -0.000439993-0j -0.000256663-0j 0.0417206-0j -3.13295e-05-0j -0.0957225-0j 0.0298066-0j 7.18815e-05-0j 0.0425898-0j -2.23829e-05-0j -3.19822e-05-0j 0.0175674-0j -1.3192e-05-0j -0.000158019-0j 0.00536921-0j -2.32784e-06-0j -0.000178501-0j 0.000286624-0j 0.00606517-0j 0.000289594-0j -2.62957e-06-0j -0.000127527-0j -0.00973899-0j -0.00983992-0j 4.22237e-06-0j -0.000105205-0j 0.00433316-0j 4.26613e-06-0j -3.36134e-05-0j -1.87866e-06-0j 0.00357468-0j -1.54981e-06-0j 0.00114213-0j -4.95173e-07-0j -0.000124533-0j -2.07555e-05-0j -0.232336-0j -0.000137833-0j 0.000498677-0j -1.52879e-07-0j -0.000108966-0j -2.29721e-05-0j 0.000358369-0j -0.000110096-0j -0.257149-0j 0.000551935-0j 0.000250009-0j -1.81611e-05-0j -1.69206e-07-0j 5.97282e-05-0j -4.49463e-05-0j -0.203294-0j 0.000145839-0j -1.83493e-05-0j 0.668595-0j -7.86561e-05-0j -0.205401-0j 0.000436343-0j -0.00143505-0j 4.16682e-05-0j 0.000440865-0j -1.33769e-07-0j -4.58827e-05-0j 0.466433-0j -7.49106e-06-0j 4.3994e-07-0j 2.43065e-05-0j -1.35155e-07-0j -1.19696e-05-0j -0.0838546-0j -0.00100113-0j -1.31094e-05-0j 0.272086-0j 0.000179982-0j -0.146746-0j 3.06915e-07-0j -7.64712e-06-0j -0.000583994-0j 0.000314969-0j -0.0856016-0j -5.51769e-08-0j 1.79034e-07-0j -1.99494e-06-0j 0.000183732-0j -0.0223313-0j -9.65595e-08-0j 4.7931e-05-0j -5.63264e-08-0j -1.46941e-08-0j 
