-0.102635-0j -0.103699-0j 0.568533-0j 0.703524-0j 0.410389-0j -0.00736065-0j 0.101251-0j -0.00858742-0j -0.0052587-0j 0.118126-0j -0.00751399-0j 0.0723369-0j 0.10336-0j -0.00309936-0j 0.0426338-0j -0.00535859-0j 0.044665-0j 0.0113241-0j -0.00605318-0j -0.0049424-0j 0.0504545-0j -0.00499362-0j 0.012792-0j -0.0043246-0j 0.0411959-0j 0.0416228-0j 0.0104446-0j -0.00356761-0j 0.0360464-0j 0.0105528-0j -0.00113987-0j 0.00913902-0j 0.0297368-0j 0.0075393-0j 0.00950104-0j 0.00240884-0j -0.00422305-0j 0.0331869-0j -0.000431014-0j -0.00467406-0j 0.0083847-0j 0.000993331-0j -0.00369517-0j 0.0367311-0j -0.00246345-0j -0.00373346-0j -0.000477045-0j 0.00928016-0j -0.00431103-0j 0.0290385-0j 0.00109942-0j 0.019359-0j -0.00152418-0j -0.000377137-0j -0.00251477-0j 0.0293394-0j -0.000251425-0j -0.00266732-0j -0.000381045-0j 0.00733661-0j 0.00489108-0j 0.0338783-0j 0.00741264-0j 0.000869164-0j -0.00155593-0j -0.000439993-0j 0.0119778-0j 0.000579443-0j 0.0197623-0j 0.000878172-0j -0.000405904-0j -0.000155561-0j 0.00855938-0j 0.0209611-0j -0.000256663-0j 0.0030262-0j -0.000272232-0j 0.00101403-0j 0.0122273-0j 0.00499297-0j 0.00529585-0j -0.000158802-0j 0.000358512-0j 0.000591515-0j 0.0031898-0j 0.00308924-0j -4.14274e-05-0j 0.000627396-0j 0.000805905-0j 0.000365981-0j 9.54752e-05-0j 
-0.0059418-0j -0.00596516-0j -0.0338783-0j 0.000705661-0j 0.0476382-0j 0.000438613-0j -0.00603341-0j 8.86589e-06-0j -0.000922239-0j -0.000121956-0j 0.000419931-0j 0.012686-0j -0.00577643-0j -0.000541264-0j 0.00744544-0j -0.0460971-0j -0.00266154-0j -0.000674792-0j -0.000902196-0j 0.0413065-0j -5.20906e-05-0j 0.0414689-0j -1.32068e-05-0j 0.00189698-0j 0.00238494-0j 0.00239431-0j 0.000604664-0j -0.0580834-0j 0.000109527-0j 0.000607041-0j 0.0383733-0j 2.77689e-05-0j -0.00335359-0j -0.000850252-0j 0.00221558-0j 0.000561727-0j 0.000251647-0j 0.285489-0j 2.56836e-05-0j 4.82563e-06-0j -0.000499635-0j -5.91915e-05-0j -0.000213923-0j 0.0054746-0j 0.000146794-0j -0.000214764-0j 4.92514e-07-0j -9.5811e-06-0j -4.32413e-06-0j -0.242692-0j -1.13507e-06-0j 0.166535-0j -0.000446365-0j -2.18334e-05-0j -0.000291916-0j -0.243646-0j 1.49821e-05-0j 0.000451569-0j -2.19193e-05-0j 0.000424735-0j -0.000291454-0j -0.00490565-0j 0.000426405-0j 5.03182e-05-0j 0.000263988-0j -4.41329e-07-0j -0.506393-0j -3.45284e-05-0j -0.331173-0j 5.0516e-05-0j -0.000118422-0j -4.55569e-05-0j 8.58538e-06-0j 0.512296-0j -2.97935e-05-0j 0.000886239-0j 4.6088e-05-0j 1.01711e-06-0j 0.29949-0j 0.000579587-0j -0.000896571-0j 2.69432e-05-0j 0.000104992-0j 6.86633e-05-0j -0.134348-0j -0.000524138-0j -1.20864e-05-0j -0.000106216-0j 0.000235123-0j -6.20944e-05-0j 2.78549e-05-0j 
0.0006178-0j 0.000624202-0j 0.013603-0j -0.00855938-0j -0.00499297-0j -0.00423594-0j 0.0284291-0j 0.00971881-0j -0.0030263-0j -0.0652268-0j -0.00432418-0j 0.0203107-0j 0.0290213-0j -0.00178363-0j 0.0119707-0j 3.22555e-05-0j 0.0519531-0j 0.00647332-0j 3.64364e-05-0j -5.85069e-05-0j 0.0586873-0j -5.91132e-05-0j 0.00731239-0j 2.60314e-05-0j -0.0942357-0j -0.0952122-0j -0.0117417-0j 2.14748e-05-0j 0.0419282-0j -0.0118634-0j 6.86131e-06-0j 0.00522422-0j 0.034589-0j 0.00430977-0j 0.0110514-0j 0.00137699-0j 2.54202e-05-0j -0.000403766-0j -0.000498677-0j 2.8135e-05-0j -0.225078-0j 0.000856239-0j 2.22427e-05-0j -0.000446887-0j -7.31518e-05-0j 2.24732e-05-0j -0.000551935-0j -0.249116-0j -5.10329e-05-0j -0.000353295-0j 0.000947682-0j 0.00116192-0j 9.17463e-06-0j -0.000436343-0j -2.97692e-05-0j -0.000356957-0j 0.00143505-0j 1.60556e-05-0j -0.000440865-0j -0.196943-0j 0.647709-0j 0.000810591-0j -0.198984-0j 0.000749209-0j 9.36577e-06-0j 0.00100113-0j -0.000145727-0j -0.002464-0j 0.000472845-0j 0.000756973-0j 2.44329e-06-0j -0.000179982-0j 0.451861-0j -0.000255022-0j 0.000583994-0j -0.081235-0j -0.000314969-0j -0.00171896-0j -0.000148763-0j 0.263586-0j -0.142161-0j -0.000183732-0j 0.000309033-0j -0.00100273-0j -3.88085e-05-0j -0.0829274-0j -4.7931e-05-0j 0.000540807-0j -0.0216337-0j 0.000315471-0j 8.22984e-05-0j 
-0.00363859-0j -0.0036529-0j 0.000439993-0j -9.16475e-06-0j -0.000618699-0j -0.0516266-0j 3.87683e-05-0j -0.00104355-0j 0.108551-0j 7.83642e-07-0j -0.0494276-0j -8.15152e-05-0j 3.7117e-05-0j 0.063709-0j -4.78414e-05-0j 0.000195538-0j -0.00664406-0j 2.88055e-06-0j 3.827e-06-0j -0.000175217-0j -0.000130035-0j -0.000175906-0j 5.63771e-08-0j -8.04676e-06-0j 0.00595357-0j 0.00597698-0j -2.58119e-06-0j 0.000246382-0j 0.000273415-0j -2.59134e-06-0j -0.000162775-0j -1.1854e-07-0j -0.00837165-0j 3.62956e-06-0j 0.00553081-0j -2.3979e-06-0j 0.000154102-0j 2.56836e-05-0j 0.287502-0j 2.95509e-06-0j -0.000617082-0j 1.89178e-07-0j -0.000131-0j 4.92514e-07-0j 8.98927e-05-0j -0.000131516-0j 0.00551319-0j -1.18333e-05-0j -2.64798e-06-0j -2.18334e-05-0j 3.62771e-09-0j 1.49821e-05-0j -0.000273341-0j -0.244402-0j -0.000178761-0j -2.19193e-05-0j 0.167709-0j 0.000276528-0j -0.245363-0j 0.000524576-0j -0.000359964-0j -4.41329e-07-0j 0.000526638-0j -1.60818e-07-0j 0.000161659-0j -0.00494023-0j -4.55569e-05-0j 1.10354e-07-0j -2.97935e-05-0j -1.61451e-07-0j -7.25186e-05-0j -0.509962-0j 1.06035e-05-0j 4.6088e-05-0j -0.333508-0j 0.00109456-0j 0.515908-0j -3.2507e-09-0j 2.69432e-05-0j 0.000715827-0j -0.00110732-0j 0.301601-0j -3.35558e-07-0j -2.1945e-07-0j -1.20864e-05-0j -0.000647345-0j -0.135295-0j 3.3947e-07-0j 0.000290392-0j 1.98455e-07-0j -8.9025e-08-0j 
-0.00356761-0j -0.00323636-0j 0.0197623-0j -0.0476382-0j 0.0548368-0j -0.000255857-0j 0.00351949-0j 0.000581485-0j -0.000182793-0j -0.00799872-0j -0.000234506-0j 0.00251445-0j 0.00322579-0j -0.000128983-0j 0.00177424-0j 0.02689-0j 0.00155256-0j 0.000393629-0j -0.0591721-0j 0.0248015-0j -0.00341646-0j 0.0224987-0j -0.00086619-0j -0.0422746-0j 0.00143198-0j 0.00129902-0j 0.000363056-0j 0.0688196-0j -0.00244083-0j 0.000329346-0j -0.0728513-0j -0.000618836-0j 0.00397348-0j 0.00100741-0j -0.00420626-0j -0.00106643-0j -0.000146794-0j -0.166535-0j -1.49821e-05-0j 0.000316498-0j 0.000291454-0j 3.45284e-05-0j -0.000128445-0j 0.359061-0j -8.56299e-05-0j -0.000116519-0j 3.23024e-05-0j -0.000628394-0j 0.000291916-0j -0.145718-0j -7.44454e-05-0j -0.0971456-0j -5.29808e-05-0j -1.31094e-05-0j -0.000336028-0j -0.132189-0j -8.73957e-06-0j -8.32451e-05-0j -1.18922e-05-0j 0.000255022-0j 0.000170015-0j 0.331173-0j 0.000231343-0j 3.02123e-05-0j -6.47516e-05-0j 2.97935e-05-0j -0.0601058-0j 2.01416e-05-0j -0.381217-0j 2.74071e-05-0j 0.000615869-0j -5.40733e-06-0j -0.000579587-0j -0.09444-0j -3.42957e-05-0j 0.000105191-0j -8.49616e-06-0j -6.86633e-05-0j -0.0734595-0j 0.000667169-0j 0.00016528-0j -6.60868e-06-0j 1.24619e-05-0j 7.90392e-05-0j 0.698693-0j 0.000128562-0j 6.28569e-05-0j 1.95806e-05-0j -0.00122278-0j 1.52306e-05-0j -0.000144862-0j 
-3.64042e-05-0j -3.67815e-05-0j -0.00161155-0j 0.00101403-0j 0.000591515-0j -2.61079e-06-0j -0.0103396-0j 5.99012e-06-0j -1.86524e-06-0j 0.0237229-0j -2.66518e-06-0j -0.00738698-0j -0.010555-0j -1.09933e-06-0j -0.00435373-0j -1.90067e-06-0j 6.43779e-05-0j 0.0726994-0j -2.14704e-06-0j 3.44755e-06-0j 7.27226e-05-0j 3.48328e-06-0j 0.0821227-0j -1.53392e-06-0j -0.000116773-0j -0.000117983-0j -0.131867-0j -1.26542e-06-0j 5.19555e-05-0j -0.133233-0j -4.04307e-07-0j 0.0586713-0j 4.28611e-05-0j 0.0484014-0j 1.36943e-05-0j 0.0154645-0j -1.4979e-06-0j 4.7834e-05-0j -1.52879e-07-0j -1.65787e-06-0j -0.000856239-0j -0.217833-0j -1.31066e-06-0j 5.29425e-05-0j 4.31051e-06-0j -1.32424e-06-0j -1.69206e-07-0j -0.000947682-0j 3.00715e-06-0j 4.18547e-05-0j -0.241097-0j -0.000137652-0j -5.40621e-07-0j -1.33769e-07-0j 1.75417e-06-0j 4.22885e-05-0j 4.3994e-07-0j -9.46086e-07-0j -1.35155e-07-0j -0.000749209-0j 0.002464-0j -9.60302e-05-0j -0.000756973-0j -0.190604-0j -5.51883e-07-0j 3.06915e-07-0j 1.72642e-05-0j 0.626859-0j -5.60176e-05-0j -0.192579-0j -1.43972e-07-0j -5.51769e-08-0j 0.00171896-0j 3.02123e-05-0j 1.79034e-07-0j -0.000309033-0j -9.65595e-08-0j 0.437316-0j 1.76239e-05-0j 0.00100273-0j -0.000540807-0j -5.63264e-08-0j -0.0786201-0j 0.255101-0j 4.59762e-06-0j -0.000315471-0j -1.46941e-08-0j -0.137585-0j -8.22984e-05-0j -0.080258-0j -0.0209373-0j 
-0.00218471-0j -0.00198186-0j -0.000256663-0j 0.000618699-0j -0.000712192-0j 0.0301155-0j -2.26148e-05-0j -0.0684433-0j 0.0215156-0j 5.13965e-05-0j 0.0276024-0j -1.61568e-05-0j -2.07276e-05-0j 0.0151818-0j -1.14006e-05-0j -0.000114064-0j 0.0038757-0j -1.68032e-06-0j 0.000251001-0j -0.000105205-0j -0.00852858-0j -9.54366e-05-0j 3.69759e-06-0j 0.000179324-0j 0.00357468-0j 0.00324277-0j -1.54981e-06-0j -0.000291924-0j -0.00609311-0j -1.40591e-06-0j 0.000309026-0j 2.64169e-06-0j 0.00991908-0j -4.30045e-06-0j -0.0105002-0j 4.55238e-06-0j -8.98927e-05-0j -1.49821e-05-0j -0.167709-0j 0.000193815-0j 0.000359964-0j -1.10354e-07-0j -7.86561e-05-0j 3.23024e-05-0j -5.24374e-05-0j -7.13529e-05-0j 0.361592-0j -0.000776107-0j 0.000178761-0j -1.31094e-05-0j 2.3793e-07-0j -8.73957e-06-0j -3.2444e-05-0j -0.146746-0j -0.000205774-0j -1.18922e-05-0j -0.0978304-0j -5.0977e-05-0j -0.13312-0j 0.000314969-0j 0.000209979-0j 2.97935e-05-0j 0.000285724-0j -9.65595e-08-0j -3.96521e-05-0j 0.333508-0j -5.40733e-06-0j -6.4373e-08-0j -3.42957e-05-0j -8.7594e-08-0j 0.000377141-0j -0.0605295-0j -0.000715827-0j -8.49616e-06-0j -0.383904-0j 0.000129918-0j -0.0951057-0j 2.1945e-07-0j -6.60868e-06-0j 0.000823997-0j 0.000204131-0j -0.0739773-0j -3.98288e-08-0j -2.52611e-07-0j 6.28569e-05-0j 0.000158782-0j 0.703618-0j -6.25802e-08-0j -0.00151022-0j -4.86775e-08-0j 4.62985e-07-0j 
0.000742725-0j 0.000745645-0j 0.00855938-0j -0.000178286-0j -0.0120358-0j 0.0052417-0j -0.0351792-0j 0.000105953-0j -0.0110213-0j -0.000711094-0j 0.00501844-0j 0.0739687-0j -0.0336807-0j -0.00646844-0j 0.0434123-0j -3.99141e-05-0j -0.0642887-0j -0.00801032-0j -7.81184e-07-0j 3.5766e-05-0j -0.00125823-0j 3.59066e-05-0j -0.000156775-0j 1.64254e-06-0j 0.0576075-0j 0.057834-0j 0.00717785-0j -5.02926e-05-0j 0.0026456-0j 0.00720607-0j 3.32263e-05-0j 0.000329639-0j -0.0810051-0j -0.0100932-0j 0.0535167-0j 0.00666815-0j -3.14559e-05-0j 0.000499635-0j 0.000617082-0j -6.03204e-07-0j 0.27852-0j -0.00105954-0j 2.67404e-05-0j 9.5811e-06-0j -1.83493e-05-0j 2.68455e-05-0j 1.18333e-05-0j 0.00534096-0j 5.40516e-07-0j -0.000424735-0j -2.0318e-05-0j 0.000291454-0j 5.57956e-05-0j -0.000524576-0j 3.64895e-05-0j -0.000426405-0j 0.000359964-0j -5.64461e-05-0j -0.000526638-0j -0.236767-0j 0.16247-0j -8.58538e-06-0j -0.237698-0j 0.000900706-0j -3.29985e-05-0j -1.06035e-05-0j -0.000886239-0j -0.000618066-0j -0.000579587-0j 0.000904248-0j 1.48028e-05-0j -0.00109456-0j -0.00478589-0j 0.000896571-0j -0.000715827-0j -0.494031-0j 0.00110732-0j 1.82064e-05-0j 0.000524138-0j -0.323089-0j 0.499791-0j 0.000647345-0j 0.00187938-0j 0.00122909-0j -0.000235123-0j 0.292179-0j -0.000290392-0j -0.0019013-0j -0.131069-0j -0.0011115-0j 0.000498609-0j 
-4.37655e-05-0j -4.39376e-05-0j -0.00101403-0j 2.11214e-05-0j 0.00142588-0j 3.23069e-06-0j 0.0127946-0j 6.53035e-08-0j -6.79293e-06-0j 0.000258624-0j 3.09308e-06-0j -0.0269023-0j 0.0122497-0j -3.98678e-06-0j -0.015789-0j 2.35196e-06-0j -7.96636e-05-0j -0.089961-0j 4.60317e-08-0j -2.10753e-06-0j -1.55915e-06-0j -2.11582e-06-0j -0.00176068-0j -9.67875e-08-0j 7.13845e-05-0j 7.16652e-05-0j 0.0806117-0j 2.96352e-06-0j 3.2783e-06-0j 0.0809287-0j -1.95788e-06-0j 0.00370206-0j -0.000100378-0j -0.113353-0j 6.63155e-05-0j 0.0748875-0j 1.85356e-06-0j -5.91915e-05-0j 1.89178e-07-0j 3.55442e-08-0j 0.00105954-0j 0.269555-0j -1.57569e-06-0j -1.13507e-06-0j 1.08124e-06-0j -1.58189e-06-0j 3.62771e-09-0j 2.0318e-05-0j -3.18502e-08-0j 5.03182e-05-0j 0.00516903-0j -3.45284e-05-0j -3.28779e-06-0j -1.60818e-07-0j -2.15016e-06-0j 5.0516e-05-0j 1.10354e-07-0j 3.32612e-06-0j -1.61451e-07-0j -0.000900706-0j 0.000618066-0j 1.01711e-06-0j -0.000904248-0j -0.229146-0j 1.94446e-06-0j -3.2507e-09-0j 0.000104992-0j 0.15724-0j 6.86633e-05-0j -0.230047-0j -8.72263e-07-0j -3.35558e-07-0j -1.82064e-05-0j -0.000106216-0j -2.1945e-07-0j -0.00187938-0j 3.3947e-07-0j -0.00463184-0j -6.20944e-05-0j -0.00122909-0j 0.0019013-0j 1.98455e-07-0j -0.478128-0j -0.312689-0j 2.78549e-05-0j 0.0011115-0j -8.9025e-08-0j 0.483703-0j -0.000498609-0j 0.282774-0j -0.126849-0j 
0.000445951-0j 0.000404545-0j -0.00499297-0j 0.0120358-0j -0.0138546-0j -0.00305766-0j 0.0205212-0j 0.00694912-0j -0.0021845-0j -0.0466383-0j -0.0028025-0j 0.014661-0j 0.0188087-0j -0.00154143-0j 0.0103451-0j 2.32832e-05-0j 0.0375017-0j 0.00467269-0j -5.12353e-05-0j 2.14748e-05-0j -0.0825235-0j 1.94809e-05-0j -0.0102824-0j -3.66043e-05-0j 0.034589-0j 0.0313774-0j 0.00430977-0j 5.95888e-05-0j -0.0589577-0j 0.00390961-0j -6.30797e-05-0j -0.00734608-0j 0.0959782-0j 0.0119588-0j -0.101601-0j -0.0126594-0j 1.83493e-05-0j -0.000291454-0j -0.000359964-0j -3.95622e-05-0j -0.16247-0j 0.000618066-0j 1.60556e-05-0j 0.000628394-0j 1.07037e-05-0j 1.45649e-05-0j 0.000776107-0j 0.350296-0j -3.64895e-05-0j -0.000255022-0j -0.00133259-0j -0.000170015-0j 6.6226e-06-0j -0.000314969-0j 4.20034e-05-0j -0.000231343-0j -0.000209979-0j 1.04056e-05-0j -0.000285724-0j -0.142161-0j -0.0947742-0j 0.000579587-0j -0.128962-0j 0.000540807-0j 8.09395e-06-0j 0.000715827-0j -0.000105191-0j 0.000360538-0j -0.000667169-0j 0.000490594-0j -7.69837e-05-0j -0.000129918-0j 0.323089-0j -0.00016528-0j -0.000823997-0j -0.0586385-0j -0.000204131-0j -0.00122909-0j -0.000128562-0j -0.371911-0j -0.0921347-0j -0.000158782-0j 0.000223072-0j 0.00141482-0j 0.00122278-0j -0.0716663-0j 0.00151022-0j 0.000350497-0j 0.681637-0j 0.000272632-0j -0.00259307-0j 
-2.62779e-05-0j -2.3838e-05-0j 0.000591515-0j -0.00142588-0j 0.00164135-0j -1.88457e-06-0j -0.00746354-0j 4.28305e-06-0j -1.3464e-06-0j 0.0169623-0j -1.7273e-06-0j -0.00533221-0j -0.00684071-0j -9.50048e-07-0j -0.00376252-0j -1.37198e-06-0j 4.64704e-05-0j 0.0524772-0j 3.01907e-06-0j -1.26542e-06-0j -0.000102259-0j -1.14792e-06-0j -0.115477-0j 2.15693e-06-0j 4.28611e-05-0j 3.88815e-05-0j 0.0484014-0j -3.5113e-06-0j -7.30576e-05-0j 0.0439073-0j 3.71701e-06-0j -0.0825011-0j 0.000118932-0j 0.134305-0j -0.000125899-0j -0.142173-0j -1.08124e-06-0j 3.45284e-05-0j -1.10354e-07-0j 2.33123e-06-0j -0.000618066-0j -0.15724-0j -9.46086e-07-0j -7.44454e-05-0j -6.30724e-07-0j -8.58242e-07-0j 2.3793e-07-0j 0.00133259-0j 2.15016e-06-0j 3.02123e-05-0j 0.33902-0j 2.01416e-05-0j -3.90241e-07-0j -9.65595e-08-0j -2.47508e-06-0j 2.74071e-05-0j -6.4373e-08-0j -6.13158e-07-0j -8.7594e-08-0j -0.000540807-0j -0.000360538-0j -6.86633e-05-0j -0.000490594-0j -0.137585-0j -4.7694e-07-0j 2.1945e-07-0j 1.24619e-05-0j -0.0917235-0j 7.90392e-05-0j -0.12481-0j 4.53631e-06-0j -3.98288e-08-0j 0.00122909-0j 1.95806e-05-0j -2.52611e-07-0j -0.000223072-0j -6.25802e-08-0j 0.312689-0j 1.52306e-05-0j -0.00141482-0j -0.000350497-0j -4.86775e-08-0j -0.056751-0j -0.35994-0j -0.000144862-0j -0.000272632-0j 4.62985e-07-0j -0.0891689-0j 0.00259307-0j -0.0693594-0j 0.659695-0j 
0.0228981-0j 0.0231354-0j 0.00269011-0j 0.00332884-0j 0.00194182-0j -0.00487386-0j -0.00070348-0j 0.00191588-0j 0.00117323-0j 0.000276533-0j 0.00167639-0j 0.000169341-0j 0.000241966-0j 0.000691477-0j 9.9806e-05-0j 0.00119552-0j 0.00021134-0j 1.76116e-05-0j -0.00400811-0j 0.00110266-0j -0.000708541-0j 0.00111409-0j -5.90451e-05-0j 0.00096483-0j 0.000194925-0j 0.000196945-0j 1.62438e-05-0j 0.000795944-0j 0.000170559-0j 1.64121e-05-0j 0.000254308-0j 1.42133e-05-0j 0.000140704-0j 1.17254e-05-0j 4.49557e-05-0j 3.74631e-06-0j 0.000942175-0j 0.000157029-0j 9.61603e-05-0j 0.0010428-0j 1.96286e-05-0j 1.15663e-06-0j -0.00244676-0j 0.000173799-0j 0.000549602-0j -0.00247212-0j 0.00010643-0j 2.17249e-05-0j 0.000961803-0j -0.000407793-0j 1.28015e-06-0j 9.16003e-05-0j 0.000340049-0j -0.000249721-0j 0.000561052-0j -0.000412019-0j 5.60935e-05-0j 0.000595085-0j -0.000252309-0j -5.09742e-05-0j 1.145e-05-0j 0.000160301-0j -5.15024e-05-0j -3.00368e-06-0j 0.000347133-0j 9.81636e-05-0j 5.66748e-05-0j 6.747e-07-0j 9.35087e-05-0j -3.03481e-06-0j 9.05582e-05-0j 3.47061e-05-0j 2.00376e-05-0j 9.91809e-05-0j 5.72621e-05-0j 7.08435e-06-0j 6.07357e-05-0j 1.18073e-06-0j 5.78555e-05-0j 1.16886e-05-0j 1.23976e-05-0j 3.54291e-05-0j 4.17449e-07-0j 6.88756e-07-0j 1.5093e-05-0j 7.23194e-06-0j 9.24256e-06-0j 7.30536e-07-0j 1.88663e-06-0j 4.26146e-07-0j 1.11171e-07-0j 
-0.0267145-0j 0.026056-0j 0.0061721-0j -6.72874e-05-0j 0.00441316-0j -0.00191588-0j -0.000276533-0j 7.61598e-05-0j -0.00136877-0j 1.09927e-05-0j 0.00188802-0j -0.000197565-0j 0.000272512-0j 0.00236426-0j 0.000341251-0j -0.00139477-0j -0.000246563-0j -2.05469e-05-0j -2.72979e-05-0j 0.00252992-0j -4.82563e-06-0j -0.00246756-0j -4.02136e-07-0j -1.95026e-05-0j 0.00044723-0j -0.000436207-0j 3.72692e-05-0j 0.00180894-0j -3.4476e-06-0j -3.63506e-05-0j 0.00116107-0j -2.873e-07-0j 0.000319778-0j 2.66481e-05-0j 0.00020525-0j 1.71041e-05-0j -0.0010992-0j -0.000183201-0j -0.000112187-0j -2.10785e-05-0j -2.29001e-05-0j -1.3494e-06-0j -0.000961803-0j -3.51309e-06-0j 0.00316318-0j 0.000938097-0j -2.15132e-06-0j -4.39136e-07-0j 3.82335e-05-0j -0.000160301-0j -2.58764e-08-0j 0.000527197-0j -0.000396724-0j -9.81636e-05-0j -0.00250761-0j 0.000156349-0j 0.000322841-0j 0.000670209-0j 9.57441e-05-0j -2.00376e-05-0j 6.58997e-05-0j 6.37225e-06-0j 1.95437e-05-0j -1.18073e-06-0j 0.0011869-0j 3.90219e-06-0j -6.61206e-05-0j 3.88317e-06-0j -0.000417936-0j 1.15162e-06-0j 0.000517273-0j -4.04904e-05-0j 7.96532e-07-0j 0.000111701-0j -0.000255932-0j -8.26508e-06-0j 6.84029e-05-0j 4.69361e-08-0j 0.000197816-0j -5.2242e-05-0j 1.39627e-05-0j 0.000121137-0j -4.87024e-07-0j -3.07839e-06-0j 8.62122e-05-0j 2.47271e-05-0j 5.2794e-05-0j 8.22759e-07-0j 1.07765e-05-0j 1.45706e-06-0j 6.35013e-07-0j 
-0.00369517-0j -0.00373346-0j 0.0204689-0j 0.025329-0j 0.0147753-0j 0.000786515-0j -0.010819-0j -0.000309173-0j -0.000189329-0j 0.00425289-0j -0.000270527-0j 0.00260435-0j 0.00372127-0j -0.000111587-0j 0.00153495-0j -0.000192926-0j 0.00160808-0j 0.000407703-0j 0.000646807-0j -0.000177941-0j -0.00539126-0j -0.000179785-0j -0.00136687-0j -0.000155699-0j 0.00148318-0j 0.00149855-0j 0.000376037-0j -0.000128445-0j 0.00129778-0j 0.000379934-0j -4.10388e-05-0j 0.000329032-0j 0.00107061-0j 0.000271438-0j 0.000342066-0j 8.67257e-05-0j 0.0294093-0j 0.00119483-0j -1.55178e-05-0j 0.0325502-0j 0.000301875-0j 3.57629e-05-0j -0.0763739-0j 0.00132243-0j 0.0171554-0j -0.0771654-0j -1.71751e-05-0j 0.000334114-0j 0.030022-0j -0.00310288-0j 3.95823e-05-0j 0.000696984-0j 0.0106144-0j 4.02986e-05-0j 0.0175128-0j -0.00313504-0j -9.05205e-06-0j 0.0185752-0j 4.07162e-05-0j -0.000783947-0j 0.000176094-0j 0.00121972-0j -0.000792071-0j -9.28738e-05-0j 0.0108355-0j -1.58411e-05-0j 0.000431237-0j 2.08617e-05-0j 0.000711504-0j -9.38362e-05-0j 0.00282671-0j -5.60067e-06-0j 0.000308164-0j 0.000754664-0j -9.24064e-06-0j 0.000108952-0j -9.80117e-06-0j 3.6508e-05-0j 0.000440221-0j 0.000179762-0j 0.000190667-0j -5.71735e-06-0j 1.29075e-05-0j 2.12963e-05-0j 0.000114842-0j 0.000111222-0j -1.49151e-06-0j 2.25882e-05-0j 2.90151e-05-0j 1.31764e-05-0j 3.4374e-06-0j 
0.0481462-0j -0.0165287-0j -0.00192191-0j 0.0069993-0j -0.0013873-0j -0.00117323-0j -0.000169341-0j -0.00136877-0j -0.000744109-0j -0.000197565-0j 0.00352483-0j -0.000107403-0j 0.000508765-0j -0.000494015-0j -7.13049e-05-0j -0.000854119-0j -0.000150988-0j -1.25824e-05-0j -0.00096483-0j 0.00231849-0j -0.000170559-0j -0.000795944-0j -1.42133e-05-0j -0.000611933-0j 0.000409855-0j -0.000140704-0j 3.41546e-05-0j 0.00167357-0j -0.000108175-0j -1.17254e-05-0j -0.000181686-0j -9.01462e-06-0j 0.000295849-0j 2.46541e-05-0j -3.21179e-05-0j -2.67649e-06-0j -0.000673122-0j -0.000112187-0j -6.87002e-05-0j -0.00074501-0j -1.40234e-05-0j -8.26335e-07-0j 0.00173341-0j -0.000124168-0j -0.000392655-0j -0.000595085-0j -7.60372e-05-0j -1.5521e-05-0j 0.00202231-0j 0.000288902-0j -9.14586e-07-0j -6.54424e-05-0j -0.00303495-0j 0.000176916-0j -0.000400835-0j -9.91809e-05-0j -4.00751e-05-0j -0.000377427-0j -6.07357e-05-0j 3.61127e-05-0j -8.1803e-06-0j 0.000337052-0j -1.23976e-05-0j 2.12796e-06-0j 0.000729892-0j 0.000206402-0j -0.000505825-0j -4.82029e-07-0j -6.68058e-05-0j -7.30536e-07-0j -6.46979e-05-0j -0.000309753-0j 4.21315e-05-0j -6.29044e-05-0j -4.091e-05-0j -6.32281e-05-0j -3.85209e-05-0j 2.48262e-06-0j 0.000121649-0j -8.35073e-06-0j -7.86305e-06-0j 7.44942e-05-0j -3.72575e-06-0j -4.92071e-07-0j -1.0783e-05-0j 1.52061e-05-0j -6.6032e-06-0j -4.63335e-07-0j -1.34787e-06-0j 8.96026e-07-0j -7.94242e-08-0j 
-0.0227097-0j -0.0236032-0j 0.00274615-0j 0.00318705-0j 0.00177978-0j 0.00167639-0j 0.000241966-0j -0.00188802-0j -0.00352483-0j -0.000272512-0j 0.0016616-0j -0.000508765-0j 0.000239832-0j 0.00333627-0j 0.00048155-0j 0.00122042-0j 0.000215742-0j 1.79785e-05-0j -0.00133084-0j -0.00109359-0j -0.000235262-0j -0.00113662-0j -1.96052e-05-0j 0.00279827-0j -0.000193321-0j -0.000200927-0j -1.61101e-05-0j -0.000708755-0j 0.000494669-0j -1.67439e-05-0j 0.00272229-0j 4.12224e-05-0j -0.000125291-0j -1.0441e-05-0j 0.000481237-0j 4.01031e-05-0j 0.000961803-0j 0.000160301-0j 9.81636e-05-0j -0.00102763-0j 2.00376e-05-0j 1.18073e-06-0j -0.00081762-0j -0.000171272-0j 0.000561052-0j -0.000849789-0j -0.000104882-0j -2.1409e-05-0j 0.000920836-0j -0.00013627-0j -1.26154e-06-0j 9.35087e-05-0j -0.00170602-0j -8.3448e-05-0j 0.000514233-0j -0.000141631-0j 5.72621e-05-0j 0.00178679-0j -8.67312e-05-0j -1.70338e-05-0j 1.16886e-05-0j 0.000153473-0j -1.77039e-05-0j -1.00372e-06-0j -0.00162719-0j 9.39825e-05-0j -0.000284337-0j 6.88756e-07-0j 8.57055e-05-0j -1.04321e-06-0j 0.0016804-0j -0.00017412-0j 1.91841e-05-0j 0.000297798-0j 5.24837e-05-0j -3.55421e-05-0j 0.000182363-0j 1.13043e-06-0j -0.000271198-0j 1.07132e-05-0j 3.72248e-05-0j -0.000166074-0j -2.09434e-06-0j 6.3128e-07-0j 0.000280067-0j -3.38997e-05-0j 0.000171505-0j 2.19349e-06-0j 3.50084e-05-0j -1.99756e-06-0j 2.06289e-06-0j 
